query,product_id,relevance_score
toner that maintains my skin barrier,18,3
toner that maintains my skin barrier,144,3
toner that maintains my skin barrier,146,3
toner that maintains my skin barrier,149,3
toner that maintains my skin barrier,151,3
toner that maintains my skin barrier,152,2
toner that maintains my skin barrier,29,2
toner that maintains my skin barrier,31,2
toner that maintains my skin barrier,32,2
toner that maintains my skin barrier,35,2
toner that maintains my skin barrier,38,2
toner that maintains my skin barrier,40,2
toner that maintains my skin barrier,43,2
toner that maintains my skin barrier,44,2
toner that maintains my skin barrier,48,2
toner that maintains my skin barrier,50,1
toner that maintains my skin barrier,52,1
toner that maintains my skin barrier,56,1
toner that maintains my skin barrier,57,1
toner that maintains my skin barrier,60,1
toner that maintains my skin barrier,64,1
toner that maintains my skin barrier,67,1
toner that maintains my skin barrier,72,1
toner that maintains my skin barrier,81,1
toner that maintains my skin barrier,83,1
products that treat Eczema,48,5
products that treat Eczema,66,5
products that treat Eczema,19,5
products that treat Eczema,1,5
products that treat Eczema,2,5
products that treat Eczema,3,5
products that treat Eczema,4,5
products that treat Eczema,5,5
products that treat Eczema,6,5
products that treat Eczema,7,5
products that treat Eczema,8,4
products that treat Eczema,9,4
products that treat Eczema,10,4
products that treat Eczema,11,4
products that treat Eczema,12,4
products that treat Eczema,13,4
products that treat Eczema,14,4
products that treat Eczema,15,4
products that treat Eczema,16,4
products that treat Eczema,17,4
products that treat Eczema,18,3
products that treat Eczema,20,3
products that treat Eczema,21,3
products that treat Eczema,22,3
products that treat Eczema,23,3
products that treat Eczema,24,3
products that treat Eczema,25,3
products that treat Eczema,26,3
products that treat Eczema,27,3
products that treat Eczema,28,3
products that treat Eczema,29,2
products that treat Eczema,30,2
products that treat Eczema,31,2
products that treat Eczema,32,2
products that treat Eczema,33,2
products that treat Eczema,34,2
products that treat Eczema,35,2
products that treat Eczema,36,2
products that treat Eczema,37,2
products that treat Eczema,38,2
products that treat Eczema,39,1
products that treat Eczema,40,1
products that treat Eczema,41,1
products that treat Eczema,42,1
products that treat Eczema,43,1
products that treat Eczema,44,1
products that treat Eczema,45,1
products that treat Eczema,46,1
products that treat Eczema,47,1
products that treat Eczema,49,1
vegan skincare,119,5
vegan skincare,99,5
vegan skincare,31,5
vegan skincare,98,5
vegan skincare,131,5
vegan skincare,54,5
vegan skincare,142,5
vegan skincare,53,5
vegan skincare,145,5
vegan skincare,116,5
vegan skincare,122,4
vegan skincare,1,4
vegan skincare,2,4
vegan skincare,3,4
vegan skincare,4,4
vegan skincare,5,4
vegan skincare,6,4
vegan skincare,7,4
vegan skincare,8,4
vegan skincare,9,4
vegan skincare,10,3
vegan skincare,11,3
vegan skincare,12,3
vegan skincare,13,3
vegan skincare,14,3
vegan skincare,15,3
vegan skincare,16,3
vegan skincare,17,3
vegan skincare,18,3
vegan skincare,19,3
vegan skincare,20,2
vegan skincare,21,2
vegan skincare,22,2
vegan skincare,23,2
vegan skincare,24,2
vegan skincare,25,2
vegan skincare,26,2
vegan skincare,27,2
vegan skincare,28,2
vegan skincare,29,2
vegan skincare,30,1
vegan skincare,32,1
vegan skincare,33,1
vegan skincare,34,1
vegan skincare,35,1
vegan skincare,36,1
vegan skincare,37,1
vegan skincare,38,1
vegan skincare,39,1
vegan skincare,40,1
moisturizer for humid climates,81,5
moisturizer for humid climates,151,5
moisturizer for humid climates,129,5
moisturizer for humid climates,145,5
moisturizer for humid climates,46,5
moisturizer for humid climates,115,5
moisturizer for humid climates,47,5
moisturizer for humid climates,120,5
moisturizer for humid climates,155,5
moisturizer for humid climates,71,5
moisturizer for humid climates,1,4
moisturizer for humid climates,2,4
moisturizer for humid climates,3,4
moisturizer for humid climates,4,4
moisturizer for humid climates,5,4
moisturizer for humid climates,6,4
moisturizer for humid climates,7,4
moisturizer for humid climates,8,4
moisturizer for humid climates,9,4
moisturizer for humid climates,10,4
moisturizer for humid climates,11,3
moisturizer for humid climates,12,3
moisturizer for humid climates,13,3
moisturizer for humid climates,14,3
moisturizer for humid climates,15,3
moisturizer for humid climates,16,3
moisturizer for humid climates,17,3
moisturizer for humid climates,18,3
moisturizer for humid climates,19,3
moisturizer for humid climates,20,3
moisturizer for humid climates,21,2
moisturizer for humid climates,22,2
moisturizer for humid climates,23,2
moisturizer for humid climates,24,2
moisturizer for humid climates,25,2
moisturizer for humid climates,26,2
moisturizer for humid climates,27,2
moisturizer for humid climates,28,2
moisturizer for humid climates,29,2
moisturizer for humid climates,30,2
moisturizer for humid climates,31,1
moisturizer for humid climates,32,1
moisturizer for humid climates,33,1
moisturizer for humid climates,34,1
moisturizer for humid climates,35,1
moisturizer for humid climates,36,1
moisturizer for humid climates,37,1
moisturizer for humid climates,38,1
moisturizer for humid climates,39,1
moisturizer for humid climates,40,1
korean skincare,119,5
korean skincare,31,5
korean skincare,98,5
korean skincare,131,5
korean skincare,54,5
korean skincare,142,5
korean skincare,53,5
korean skincare,145,5
korean skincare,116,5
korean skincare,122,5
korean skincare,1,4
korean skincare,2,4
korean skincare,3,4
korean skincare,4,4
korean skincare,5,4
korean skincare,6,4
korean skincare,7,4
korean skincare,8,4
korean skincare,9,4
korean skincare,10,4
korean skincare,11,3
korean skincare,12,3
korean skincare,13,3
korean skincare,14,3
korean skincare,15,3
korean skincare,16,3
korean skincare,17,3
korean skincare,18,3
korean skincare,19,3
korean skincare,20,3
korean skincare,21,2
korean skincare,22,2
korean skincare,23,2
korean skincare,24,2
korean skincare,25,2
korean skincare,26,2
korean skincare,27,2
korean skincare,28,2
korean skincare,29,2
korean skincare,30,2
korean skincare,32,1
korean skincare,33,1
korean skincare,34,1
korean skincare,35,1
korean skincare,36,1
korean skincare,37,1
korean skincare,38,1
korean skincare,39,1
korean skincare,40,1
korean skincare,41,1
makeup removal products,117,5
makeup removal products,2,5
makeup removal products,152,5
makeup removal products,80,5
makeup removal products,53,5
makeup removal products,132,5
makeup removal products,35,5
makeup removal products,19,5
makeup removal products,141,5
makeup removal products,1,5
makeup removal products,3,4
makeup removal products,4,4
makeup removal products,5,4
makeup removal products,6,4
makeup removal products,7,4
makeup removal products,8,4
makeup removal products,9,4
makeup removal products,10,4
makeup removal products,11,4
makeup removal products,12,4
makeup removal products,13,3
makeup removal products,14,3
makeup removal products,15,3
makeup removal products,16,3
makeup removal products,17,3
makeup removal products,18,3
makeup removal products,20,3
makeup removal products,21,3
makeup removal products,22,3
makeup removal products,23,3
makeup removal products,24,2
makeup removal products,25,2
makeup removal products,26,2
makeup removal products,27,2
makeup removal products,28,2
makeup removal products,29,2
makeup removal products,30,2
makeup removal products,31,2
makeup removal products,32,2
makeup removal products,33,2
makeup removal products,34,1
makeup removal products,36,1
makeup removal products,37,1
makeup removal products,38,1
makeup removal products,39,1
makeup removal products,40,1
makeup removal products,41,1
makeup removal products,42,1
makeup removal products,43,1
makeup removal products,44,1
best sunscreen for UV protection,87,5
best sunscreen for UV protection,93,5
best sunscreen for UV protection,11,5
best sunscreen for UV protection,60,5
best sunscreen for UV protection,74,5
best sunscreen for UV protection,18,5
best sunscreen for UV protection,50,5
best sunscreen for UV protection,154,5
best sunscreen for UV protection,8,5
best sunscreen for UV protection,148,5
best sunscreen for UV protection,9,4
best sunscreen for UV protection,1,4
best sunscreen for UV protection,2,4
best sunscreen for UV protection,3,4
best sunscreen for UV protection,4,4
best sunscreen for UV protection,5,4
best sunscreen for UV protection,6,4
best sunscreen for UV protection,7,4
best sunscreen for UV protection,10,4
best sunscreen for UV protection,12,4
best sunscreen for UV protection,13,3
best sunscreen for UV protection,14,3
best sunscreen for UV protection,15,3
best sunscreen for UV protection,16,3
best sunscreen for UV protection,17,3
best sunscreen for UV protection,19,3
best sunscreen for UV protection,20,3
best sunscreen for UV protection,21,3
best sunscreen for UV protection,22,3
best sunscreen for UV protection,23,3
best sunscreen for UV protection,24,2
best sunscreen for UV protection,25,2
best sunscreen for UV protection,26,2
best sunscreen for UV protection,27,2
best sunscreen for UV protection,28,2
best sunscreen for UV protection,29,2
best sunscreen for UV protection,30,2
best sunscreen for UV protection,31,2
best sunscreen for UV protection,32,2
best sunscreen for UV protection,33,2
best sunscreen for UV protection,34,1
best sunscreen for UV protection,35,1
best sunscreen for UV protection,36,1
best sunscreen for UV protection,37,1
best sunscreen for UV protection,38,1
best sunscreen for UV protection,39,1
best sunscreen for UV protection,40,1
best sunscreen for UV protection,41,1
best sunscreen for UV protection,42,1
best sunscreen for UV protection,43,1
how to repair damaged skin barrier,75,5
how to repair damaged skin barrier,103,5
how to repair damaged skin barrier,128,5
how to repair damaged skin barrier,55,5
how to repair damaged skin barrier,119,5
how to repair damaged skin barrier,46,5
how to repair damaged skin barrier,25,5
how to repair damaged skin barrier,70,5
how to repair damaged skin barrier,143,5
how to repair damaged skin barrier,42,5
how to repair damaged skin barrier,22,4
how to repair damaged skin barrier,2,4
how to repair damaged skin barrier,4,4
how to repair damaged skin barrier,134,4
how to repair damaged skin barrier,7,4
how to repair damaged skin barrier,8,4
how to repair damaged skin barrier,9,4
how to repair damaged skin barrier,10,4
how to repair damaged skin barrier,135,4
how to repair damaged skin barrier,12,4
how to repair damaged skin barrier,13,3
how to repair damaged skin barrier,14,3
how to repair damaged skin barrier,139,3
how to repair damaged skin barrier,140,3
how to repair damaged skin barrier,17,3
how to repair damaged skin barrier,18,3
how to repair damaged skin barrier,144,3
how to repair damaged skin barrier,146,3
how to repair damaged skin barrier,149,3
how to repair damaged skin barrier,151,3
how to repair damaged skin barrier,152,2
how to repair damaged skin barrier,29,2
how to repair damaged skin barrier,31,2
how to repair damaged skin barrier,32,2
how to repair damaged skin barrier,35,2
how to repair damaged skin barrier,38,2
how to repair damaged skin barrier,40,2
how to repair damaged skin barrier,43,2
how to repair damaged skin barrier,44,2
how to repair damaged skin barrier,48,2
how to repair damaged skin barrier,50,1
how to repair damaged skin barrier,52,1
how to repair damaged skin barrier,56,1
how to repair damaged skin barrier,57,1
how to repair damaged skin barrier,60,1
how to repair damaged skin barrier,64,1
how to repair damaged skin barrier,67,1
how to repair damaged skin barrier,72,1
how to repair damaged skin barrier,81,1
how to repair damaged skin barrier,83,1
spot treatment for acne,22,5
spot treatment for acne,16,5
spot treatment for acne,102,5
spot treatment for acne,10,5
spot treatment for acne,76,5
spot treatment for acne,45,5
spot treatment for acne,14,5
spot treatment for acne,66,5
spot treatment for acne,90,5
spot treatment for acne,149,5
spot treatment for acne,34,4
spot treatment for acne,75,4
spot treatment for acne,25,4
spot treatment for acne,131,4
spot treatment for acne,111,4
spot treatment for acne,126,4
spot treatment for acne,142,4
spot treatment for acne,15,4
spot treatment for acne,41,4
spot treatment for acne,144,4
spot treatment for acne,141,3
spot treatment for acne,1,3
spot treatment for acne,2,3
spot treatment for acne,3,3
spot treatment for acne,4,3
spot treatment for acne,5,3
spot treatment for acne,6,3
spot treatment for acne,7,3
spot treatment for acne,8,3
spot treatment for acne,9,3
spot treatment for acne,11,2
spot treatment for acne,12,2
spot treatment for acne,13,2
spot treatment for acne,17,2
spot treatment for acne,18,2
spot treatment for acne,19,2
spot treatment for acne,20,2
spot treatment for acne,21,2
spot treatment for acne,23,2
spot treatment for acne,24,2
spot treatment for acne,26,1
spot treatment for acne,27,1
spot treatment for acne,28,1
spot treatment for acne,29,1
spot treatment for acne,30,1
spot treatment for acne,31,1
spot treatment for acne,32,1
spot treatment for acne,33,1
spot treatment for acne,35,1
spot treatment for acne,36,1
most popular anti-oxidant in united states during the summer,1,5
most popular anti-oxidant in united states during the summer,11,5
most popular anti-oxidant in united states during the summer,153,5
most popular anti-oxidant in united states during the summer,62,5
most popular anti-oxidant in united states during the summer,82,5
most popular anti-oxidant in united states during the summer,12,5
most popular anti-oxidant in united states during the summer,17,5
most popular anti-oxidant in united states during the summer,131,5
most popular anti-oxidant in united states during the summer,124,5
most popular anti-oxidant in united states during the summer,143,5
most popular anti-oxidant in united states during the summer,122,4
most popular anti-oxidant in united states during the summer,99,4
most popular anti-oxidant in united states during the summer,66,4
most popular anti-oxidant in united states during the summer,2,4
most popular anti-oxidant in united states during the summer,3,4
most popular anti-oxidant in united states during the summer,4,4
most popular anti-oxidant in united states during the summer,5,4
most popular anti-oxidant in united states during the summer,6,4
most popular anti-oxidant in united states during the summer,7,4
most popular anti-oxidant in united states during the summer,8,4
most popular anti-oxidant in united states during the summer,9,3
most popular anti-oxidant in united states during the summer,10,3
most popular anti-oxidant in united states during the summer,13,3
most popular anti-oxidant in united states during the summer,14,3
most popular anti-oxidant in united states during the summer,15,3
most popular anti-oxidant in united states during the summer,16,3
most popular anti-oxidant in united states during the summer,18,3
most popular anti-oxidant in united states during the summer,19,3
most popular anti-oxidant in united states during the summer,20,3
most popular anti-oxidant in united states during the summer,21,3
most popular anti-oxidant in united states during the summer,22,2
most popular anti-oxidant in united states during the summer,23,2
most popular anti-oxidant in united states during the summer,24,2
most popular anti-oxidant in united states during the summer,25,2
most popular anti-oxidant in united states during the summer,26,2
most popular anti-oxidant in united states during the summer,27,2
most popular anti-oxidant in united states during the summer,28,2
most popular anti-oxidant in united states during the summer,29,2
most popular anti-oxidant in united states during the summer,30,2
most popular anti-oxidant in united states during the summer,31,2
most popular anti-oxidant in united states during the summer,32,1
most popular anti-oxidant in united states during the summer,33,1
most popular anti-oxidant in united states during the summer,34,1
most popular anti-oxidant in united states during the summer,35,1
most popular anti-oxidant in united states during the summer,36,1
most popular anti-oxidant in united states during the summer,37,1
most popular anti-oxidant in united states during the summer,38,1
most popular anti-oxidant in united states during the summer,39,1
most popular anti-oxidant in united states during the summer,40,1
most popular anti-oxidant in united states during the summer,41,1
clinically recommended chemical peel,140,5
clinically recommended chemical peel,33,5
clinically recommended chemical peel,78,5
clinically recommended chemical peel,60,5
clinically recommended chemical peel,1,5
clinically recommended chemical peel,2,5
clinically recommended chemical peel,3,5
clinically recommended chemical peel,4,5
clinically recommended chemical peel,5,5
clinically recommended chemical peel,6,5
clinically recommended chemical peel,7,4
clinically recommended chemical peel,8,4
clinically recommended chemical peel,9,4
clinically recommended chemical peel,10,4
clinically recommended chemical peel,11,4
clinically recommended chemical peel,12,4
clinically recommended chemical peel,13,4
clinically recommended chemical peel,14,4
clinically recommended chemical peel,15,4
clinically recommended chemical peel,16,4
clinically recommended chemical peel,17,3
clinically recommended chemical peel,18,3
clinically recommended chemical peel,19,3
clinically recommended chemical peel,20,3
clinically recommended chemical peel,21,3
clinically recommended chemical peel,22,3
clinically recommended chemical peel,23,3
clinically recommended chemical peel,24,3
clinically recommended chemical peel,25,3
clinically recommended chemical peel,26,3
clinically recommended chemical peel,27,2
clinically recommended chemical peel,28,2
clinically recommended chemical peel,29,2
clinically recommended chemical peel,30,2
clinically recommended chemical peel,31,2
clinically recommended chemical peel,32,2
clinically recommended chemical peel,34,2
clinically recommended chemical peel,35,2
clinically recommended chemical peel,36,2
clinically recommended chemical peel,37,2
clinically recommended chemical peel,38,1
clinically recommended chemical peel,39,1
clinically recommended chemical peel,40,1
clinically recommended chemical peel,41,1
clinically recommended chemical peel,42,1
clinically recommended chemical peel,43,1
clinically recommended chemical peel,44,1
clinically recommended chemical peel,45,1
clinically recommended chemical peel,46,1
clinically recommended chemical peel,47,1
products that can treat closed comedones fast,66,5
products that can treat closed comedones fast,149,5
products that can treat closed comedones fast,57,5
products that can treat closed comedones fast,48,5
products that can treat closed comedones fast,141,5
products that can treat closed comedones fast,19,5
products that can treat closed comedones fast,1,5
products that can treat closed comedones fast,2,5
products that can treat closed comedones fast,3,5
products that can treat closed comedones fast,4,5
products that can treat closed comedones fast,5,4
products that can treat closed comedones fast,6,4
products that can treat closed comedones fast,7,4
products that can treat closed comedones fast,8,4
products that can treat closed comedones fast,9,4
products that can treat closed comedones fast,10,4
products that can treat closed comedones fast,11,4
products that can treat closed comedones fast,12,4
products that can treat closed comedones fast,13,4
products that can treat closed comedones fast,14,4
products that can treat closed comedones fast,15,3
products that can treat closed comedones fast,16,3
products that can treat closed comedones fast,17,3
products that can treat closed comedones fast,18,3
products that can treat closed comedones fast,20,3
products that can treat closed comedones fast,21,3
products that can treat closed comedones fast,22,3
products that can treat closed comedones fast,23,3
products that can treat closed comedones fast,24,3
products that can treat closed comedones fast,25,3
products that can treat closed comedones fast,26,2
products that can treat closed comedones fast,27,2
products that can treat closed comedones fast,28,2
products that can treat closed comedones fast,29,2
products that can treat closed comedones fast,30,2
products that can treat closed comedones fast,31,2
